"","index","Referendum","Strike and mass demonstrations","King’s speech","Puigdemont answer s the king","First organizations to move out","Demonstrations for dialogue","Demonstration against independence","First DOI","Referendum organizers imprisonment"
"102",2017-10-05 14:00:00,1,1,1,1,0,0,0,0,0
"103",2017-10-05 15:00:00,1,1,1,1,0,0,0,0,0
"104",2017-10-05 16:00:00,1,1,1,1,0,0,0,0,0
"105",2017-10-05 17:00:00,1,1,1,1,0,0,0,0,0
"106",2017-10-05 18:00:00,1,1,1,1,0,0,0,0,0
"107",2017-10-05 19:00:00,1,1,1,1,0,0,0,0,0
"108",2017-10-05 20:00:00,1,1,1,1,0,0,0,0,0
"109",2017-10-05 21:00:00,1,1,1,1,0,0,0,0,0
"110",2017-10-05 22:00:00,1,1,1,1,0,0,0,0,0
"111",2017-10-05 23:00:00,1,1,1,1,0,0,0,0,0
"112",2017-10-06 00:00:00,1,1,1,1,0,0,0,0,0
"113",2017-10-06 01:00:00,1,1,1,1,0,0,0,0,0
"114",2017-10-06 02:00:00,1,1,1,1,0,0,0,0,0
"115",2017-10-06 03:00:00,1,1,1,1,0,0,0,0,0
"116",2017-10-06 04:00:00,1,1,1,1,0,0,0,0,0
"117",2017-10-06 05:00:00,1,1,1,1,0,0,0,0,0
"118",2017-10-06 06:00:00,1,1,1,1,0,0,0,0,0
"119",2017-10-06 07:00:00,1,1,1,1,0,0,0,0,0
"120",2017-10-06 08:00:00,1,1,1,1,0,0,0,0,0
"121",2017-10-06 09:00:00,1,1,1,1,0,0,0,0,0
"122",2017-10-06 10:00:00,1,1,1,1,1,0,0,0,0
"123",2017-10-06 11:00:00,1,1,1,1,1,0,0,0,0
"124",2017-10-06 12:00:00,1,1,1,1,1,0,0,0,0
"125",2017-10-06 13:00:00,1,1,1,1,1,0,0,0,0
"126",2017-10-06 14:00:00,1,1,1,1,1,0,0,0,0
"127",2017-10-06 15:00:00,1,1,1,1,1,0,0,0,0
"128",2017-10-06 16:00:00,1,1,1,1,1,0,0,0,0
"129",2017-10-06 17:00:00,1,1,1,1,1,0,0,0,0
"130",2017-10-06 18:00:00,1,1,1,1,1,0,0,0,0
"131",2017-10-06 19:00:00,1,1,1,1,1,0,0,0,0
"132",2017-10-06 20:00:00,1,1,1,1,1,0,0,0,0
